function,wildcard_cors,service_role,in_code_auth,class
health-check,False,False,False,scoped-cors
ingest-file,False,False,True,scoped-cors
integrations-connect,False,False,True,scoped-cors
integrations-disconnect,False,False,True,scoped-cors
integrations-list,False,False,False,scoped-cors
integrations-test,False,False,True,scoped-cors
integrations-zapier,False,True,True,scoped-cors
knowledge-index,False,False,False,scoped-cors
knowledge-upload,False,False,False,scoped-cors
knowledge-url,False,False,False,scoped-cors
langgraph-log-run,False,False,True,scoped-cors
langgraph-run,False,False,True,scoped-cors
langgraph-search-docs,False,False,True,scoped-cors
langgraph-upsert-doc,False,False,False,scoped-cors
langgraph-upsert-memory,False,False,False,scoped-cors
managed-connector-capabilities,True,True,True,wildcard + in-code auth
managed-connector-invoke,True,True,True,wildcard + in-code auth
managed-connector-verify,True,True,True,wildcard + in-code auth
managed-user-disconnect,True,True,True,wildcard + in-code auth
managed-user-oauth-complete,True,True,True,wildcard + in-code auth
managed-user-oauth-start,True,True,True,wildcard + in-code auth
manual-recommendations,False,False,True,scoped-cors
mcp-allowlist,False,False,False,scoped-cors
mcp-connect,False,False,False,scoped-cors
mcp-delete,False,False,False,scoped-cors
mcp-register,False,False,False,scoped-cors
mcp-sync,False,False,True,scoped-cors
mcp-test-tool,False,False,True,scoped-cors
mcp-validate,False,False,True,scoped-cors
mcp-verify,False,False,True,scoped-cors
migrate-credentials-to-vault,False,True,True,scoped-cors
models-test,False,False,True,scoped-cors
ops-heartbeat,False,False,False,scoped-cors
ops-overview,False,False,False,scoped-cors
ops-systems,False,False,False,scoped-cors
policy-evaluate,False,False,False,scoped-cors
policy-validate,False,False,False,scoped-cors
public-intake,False,True,True,scoped-cors
query-answer,False,True,True,scoped-cors
rag-db-connect,False,False,False,scoped-cors
rag-items,False,False,False,scoped-cors
rag-oauth-microsoft,False,True,True,scoped-cors
rag-s3-connect,False,False,True,scoped-cors
rag-test,False,True,True,scoped-cors
rag-upload,False,True,True,scoped-cors
rag-urls,False,False,False,scoped-cors
reco-selftest,False,True,True,scoped-cors
recommendations-generate,False,False,True,scoped-cors
recommendations-generate-stream,False,True,True,scoped-cors
record-decision,False,True,False,scoped-cors
run-lifecycle,False,True,False,scoped-cors
runs-recent,False,False,False,scoped-cors
search,False,False,False,scoped-cors
search-suggestions,False,False,True,scoped-cors
systems-create,False,False,False,scoped-cors
systems-create-from-template,False,False,False,scoped-cors
systems-delete,False,False,False,scoped-cors
systems-update,False,False,False,scoped-cors
teams-accept-invite,False,True,True,scoped-cors
teams-invite,False,True,True,scoped-cors
template-preview-chat,False,False,True,scoped-cors
template-test-run,False,False,True,scoped-cors
template-validate,False,False,False,scoped-cors
templates-list,False,False,False,scoped-cors
url-capture,False,True,True,scoped-cors
url-crawl,False,False,False,scoped-cors
url-recommendations,False,True,True,scoped-cors
url-turbo-capture,False,True,True,scoped-cors
website-cache-clear,False,True,True,scoped-cors
website-cache-status,False,False,False,scoped-cors
website-scan,False,False,False,scoped-cors
workflow-ai-suggestions,False,False,True,scoped-cors
workflow-run,False,False,False,scoped-cors
workflow-save,False,False,True,scoped-cors
workflow-simulate,False,False,True,scoped-cors
zapier-action-execute,False,True,True,scoped-cors
zapier-app-connect,False,False,True,scoped-cors
zapier-app-disconnect,False,False,True,scoped-cors
zapier-apps-detail,False,False,True,scoped-cors
zapier-apps-list,False,False,False,scoped-cors
zapier-auto-refresh,False,True,True,scoped-cors
zapier-connect,False,False,False,scoped-cors
zapier-disconnect,False,False,True,scoped-cors
zapier-integration-status,False,False,True,scoped-cors
zapier-oauth-callback,True,True,False,WILDCARD + service-role + NO in-code auth
zapier-oauth-connect,False,False,True,scoped-cors
zapier-oauth-start,False,True,True,scoped-cors
zapier-refresh-token,False,False,True,scoped-cors
zapier-status,False,False,True,scoped-cors
zapier-test,False,False,False,scoped-cors
zapier-test-connection,False,False,True,scoped-cors
zapier-webhook,False,True,False,scoped-cors
zapier-webhook-trigger,False,True,False,scoped-cors
