file,suite_path,case_name,failure_stage,reason,invariant_coverage,status
tests/integration/template-validation.test.ts,Template Validation Integration Tests > validate endpoint,should check vector index configuration,transform/collection (before any describe() body executes),unresolved import @jest/globals,n/a,UNVERIFIED - never executed
tests/integration/template-validation.test.ts,Template Validation Integration Tests > validate endpoint,should validate knowledge sources,transform/collection (before any describe() body executes),unresolved import @jest/globals,n/a,UNVERIFIED - never executed
tests/integration/template-validation.test.ts,Template Validation Integration Tests > validate endpoint,should warn about optional unconnected connectors,transform/collection (before any describe() body executes),unresolved import @jest/globals,n/a,UNVERIFIED - never executed
tests/integration/template-validation.test.ts,Template Validation Integration Tests > test-run endpoint,should run sample query and return grounded answer,transform/collection (before any describe() body executes),unresolved import @jest/globals,n/a,UNVERIFIED - never executed
tests/integration/template-validation.test.ts,Template Validation Integration Tests > test-run endpoint,should return faithfulness score,transform/collection (before any describe() body executes),unresolved import @jest/globals,n/a,UNVERIFIED - never executed
tests/integration/template-validation.test.ts,Template Validation Integration Tests > test-run endpoint,should handle all template types,transform/collection (before any describe() body executes),unresolved import @jest/globals,n/a,UNVERIFIED - never executed
tests/integration/template-validation.test.ts,Template Validation Integration Tests > edge cases,should handle user deselecting grounding,transform/collection (before any describe() body executes),unresolved import @jest/globals,n/a,UNVERIFIED - never executed
tests/integration/template-validation.test.ts,Template Validation Integration Tests > edge cases,should handle optional connector left unconnected,transform/collection (before any describe() body executes),unresolved import @jest/globals,n/a,UNVERIFIED - never executed
tests/integration/builder-flow.test.ts,Builder Flow Integration Tests > Autosave Integration,should autosave system to database after changes,transform/collection (before any describe() body executes),JSX in a .ts file rejected by vite:react-swc,n/a,UNVERIFIED - never executed
tests/integration/builder-flow.test.ts,Builder Flow Integration Tests > Autosave Integration,should persist builder state across sessions,transform/collection (before any describe() body executes),JSX in a .ts file rejected by vite:react-swc,n/a,UNVERIFIED - never executed
tests/integration/builder-flow.test.ts,Builder Flow Integration Tests > Autosave Integration,should handle concurrent saves gracefully,transform/collection (before any describe() body executes),JSX in a .ts file rejected by vite:react-swc,n/a,UNVERIFIED - never executed
tests/integration/builder-flow.test.ts,Builder Flow Integration Tests > Autosave Integration,should update existing system on subsequent saves,transform/collection (before any describe() body executes),JSX in a .ts file rejected by vite:react-swc,n/a,UNVERIFIED - never executed
tests/integration/builder-flow.test.ts,Builder Flow Integration Tests > History Integration,should track state changes with history,transform/collection (before any describe() body executes),JSX in a .ts file rejected by vite:react-swc,n/a,UNVERIFIED - never executed
tests/integration/builder-flow.test.ts,Builder Flow Integration Tests > History Integration,should preserve undo/redo state after save,transform/collection (before any describe() body executes),JSX in a .ts file rejected by vite:react-swc,n/a,UNVERIFIED - never executed
tests/integration/builder-flow.test.ts,Builder Flow Integration Tests > Workflow Sync Integration,should sync workflow nodes when integrations are added,transform/collection (before any describe() body executes),JSX in a .ts file rejected by vite:react-swc,n/a,UNVERIFIED - never executed
tests/integration/builder-flow.test.ts,Builder Flow Integration Tests > Workflow Sync Integration,should sync multiple MCP servers to workflow,transform/collection (before any describe() body executes),JSX in a .ts file rejected by vite:react-swc,n/a,UNVERIFIED - never executed
tests/integration/builder-flow.test.ts,Builder Flow Integration Tests > Complete Builder Flow,should complete full builder flow from step 1 to 5,transform/collection (before any describe() body executes),JSX in a .ts file rejected by vite:react-swc,n/a,UNVERIFIED - never executed
tests/integration/builder-flow.test.ts,Builder Flow Integration Tests > Complete Builder Flow,should handle errors during save and allow retry,transform/collection (before any describe() body executes),JSX in a .ts file rejected by vite:react-swc,n/a,UNVERIFIED - never executed
