table,classification,ownership_columns,direct_scope,authoritative_tenant_path,inherits_via_fk,foreign_keys,policy_count,core_resource_graph,tenant_ownership_nonforgeable
rag_documents,user_private,user_id,direct_user_column,rag_documents:direct_user_column,no,users,1,no,yes
rag_items,user_private,user_id,direct_user_column,rag_items:direct_user_column,no,agents,4,no,yes
rag_tokens,user_private,user_id,direct_user_column,rag_tokens:direct_user_column,no,agents,1,no,yes
recommendations,unknown,none,none,NONE,no,sites,2,yes,no
roi_assumptions,unknown,none,none,NONE,no,none,3,no,no
roi_snapshots,unknown,none,none,NONE,no,none,2,no,no
role_change_audit,user_private,actor_user_id;target_user_id,direct_user_column,role_change_audit:direct_user_column,no,none,1,no,yes
scraper_logs,system_internal,none,none,NONE,no,none,2,no,no
search_analytics,system_internal,none,none,NONE,no,none,2,no,no
search_history,user_private,user_id,direct_user_column,search_history:direct_user_column,no,users,2,no,yes
simulation_runs,user_private,user_id,direct_user_column,simulation_runs:direct_user_column,no,data_centre_twins,4,yes,yes
site_crawls,unknown,none,none,NONE,no,sites,2,no,no
site_pages,unknown,none,none,NONE,no,sites,2,no,no
sites,unknown,none,none,NONE,no,none,2,no,no
sovereign_dc_facilities,user_private,owner_id,direct_user_column,sovereign_dc_facilities:direct_user_column,no,none,4,yes,yes
sovereign_dc_simulation_runs,user_private,user_id,direct_user_column,sovereign_dc_simulation_runs:direct_user_column,no,sovereign_dc_facilities,3,yes,yes
system_builder_state,tenant_owned,none,none,system_builder_state -> agents:direct_tenant_column,yes,agents,6,no,yes
system_events,tenant_owned,none,none,system_events -> agents:direct_tenant_column,yes,agents,2,no,yes
system_health,tenant_owned,none,none,system_health -> agents:direct_tenant_column,yes,agents,2,no,yes
system_integrations,tenant_owned,none,none,system_integrations -> integrations:direct_tenant_column,yes,integrations;agents,4,no,yes
team_invites,tenant_owned,invited_by;org_id,direct_tenant_column,team_invites:direct_tenant_column,no,users,4,no,yes
twin_agent_bindings,user_private,none,none,twin_agent_bindings -> agent_definitions:direct_user_column,yes,agent_definitions;digital_twins,2,yes,yes
twin_carbon_emissions,user_private,none,none,twin_carbon_emissions -> data_centre_twins:direct_user_column,yes,data_centre_twins,2,yes,yes
twin_financial_records,user_private,none,none,twin_financial_records -> data_centre_twins:direct_user_column,yes,data_centre_twins,2,yes,yes
twin_kpi_snapshots,user_private,none,none,twin_kpi_snapshots -> data_centre_twins:direct_user_column,yes,data_centre_twins,2,yes,yes
twin_simulation_runs,user_private,created_by,direct_user_column,twin_simulation_runs:direct_user_column,no,data_centre_twins,3,yes,yes
twin_sovereignty_events,user_private,none,none,twin_sovereignty_events -> data_centre_twins:direct_user_column,yes,data_centre_twins,2,yes,yes
twin_telemetry,user_private,none,none,twin_telemetry -> data_centre_twins:direct_user_column,yes,data_centre_twins,2,yes,yes
user_preferences,user_private,user_id,direct_user_column,user_preferences:direct_user_column,no,users,3,no,yes
user_roles,user_private,user_id,direct_user_column,user_roles:direct_user_column,no,users,1,no,yes
website_content_cache,system_internal,none,none,NONE,no,none,2,no,no
workflow_edges,user_private,none,none,workflow_edges -> workflow_nodes -> workflows:direct_user_column,yes,workflow_nodes;workflow_nodes;workflows,3,yes,yes
workflow_nodes,user_private,none,none,workflow_nodes -> workflows:direct_user_column,yes,workflows,4,yes,yes
workflow_run_events,user_private,none,none,workflow_run_events -> workflow_nodes -> workflows:direct_user_column,yes,workflow_nodes;workflow_runs,1,yes,yes
workflow_runs,user_private,created_by,direct_user_column,workflow_runs:direct_user_column,no,users;workflows,2,yes,yes
workflows,user_private,created_by,direct_user_column,workflows:direct_user_column,no,users;agents,4,yes,yes
zapier_apps,deliberately_public,none,none,NONE,no,none,1,no,no
