migration,object_name,object_type,in_migration_grant,later_migration_explicit_grant,alter_default_privileges_source,effective_catalog_privilege_authenticated,effective_catalog_privilege_service_role,effective_catalog_privilege_anon,rls_enabled,hermetic_replay_safe,classification,secondary_classification,rationale
20251209160634_remix_migration_from_pg_dump.sql,agent_runs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_runtime_status,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_suggestions_cache,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_templates,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_versions,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_workflows,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agents,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,ai_recommendations_cache,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,audit_logs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,capture_cache,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,captured_pages,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,cloud_deployments,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,contact_expert_logs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,content_embeddings,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,copilot_events,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,copilot_memory,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,copilot_sessions,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,copilot_sessions_cache,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,crawl_jobs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,departments,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,deployment_tracking,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,deployments,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,digital_twin_runs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,digital_twins,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,document_analysis_jobs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,documents,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,environments,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,funding_programs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,heartbeats,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,indexed_content,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,industry_agents,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,industry_templates,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,integration_logs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,integration_sync_logs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,integrations,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,integrations_connections,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,integrations_tokens,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,intelligence_settings,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,knowledge_sources,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,m2m_templates,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,mcp_credentials,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,mcp_servers_catalog,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,mcp_sync_runs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,mcp_tokens,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,system_health,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,oauth_states,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
