route,final_url_auth,url_owned,classification,note
/connect/health,/connect/health,yes,WIRED_E2E_VERIFIED,
/builder,/builder,yes,WIRED_E2E_VERIFIED,
/build,/builder,redirect,WIRED_E2E_VERIFIED,
/app/agents,/app/agents,yes,WIRED_E2E_VERIFIED,
/agents,/app/agents,redirect,WIRED_E2E_VERIFIED,
/subsystem-agents,/app/agents,redirect,WIRED_E2E_VERIFIED,
/analytics,/analytics,yes,WIRED_E2E_VERIFIED,
/intelligence,/analytics,redirect,WIRED_E2E_VERIFIED,
/operations,/analytics,redirect,WIRED_E2E_VERIFIED,
/deployments,/deployments,yes,WIRED_E2E_VERIFIED,
/deploy,/deploy,yes,WIRED_E2E_VERIFIED,
/settings/ai,/settings/ai,yes,WIRED_E2E_VERIFIED,
/admin,/admin/signups-dashboard,redirect,WIRED_E2E_VERIFIED,
/admin/signups-dashboard,/admin/signups-dashboard,yes,WIRED_E2E_VERIFIED,
/admin/user-approvals,/admin/user-approvals,yes,WIRED_E2E_VERIFIED,
/admin/onboarding-submissions,/admin/onboarding-submissions,yes,WIRED_E2E_VERIFIED,
/admin/asset-pipeline,/admin/asset-pipeline,yes,WIRED_E2E_VERIFIED,
/admin/asset-preview,/admin/asset-preview,yes,WIRED_E2E_VERIFIED,
/admin/asset-validation/nvidia.rack.42u_a_01,/admin/asset-validation/nvidia.rack.42u_a_01,yes,WIRED_E2E_VERIFIED,
/admin/reference-facility-validation,/admin/reference-facility-validation,yes,WIRED_E2E_VERIFIED,
/teams,/teams,yes,WIRED_E2E_VERIFIED,
/account/access-control,/account/access-control,yes,WIRED_E2E_VERIFIED,
/account/profile,/account/profile,yes,WIRED_E2E_VERIFIED,
/account/settings,/account/settings,yes,WIRED_E2E_VERIFIED,
/search,/search,yes,WIRED_E2E_VERIFIED,
/universal-search,/search,redirect,WIRED_E2E_VERIFIED,
/search?q=montreal,/search?q=montreal,yes,WIRED_WITH_LIMITATIONS,q= not consumed on mount; same rendered length as empty search
/help,/help,yes,WIRED_E2E_VERIFIED,
/playbook,/playbook,yes,WIRED_E2E_VERIFIED,
/compliance,/compliance,yes,WIRED_E2E_VERIFIED,
/infrastructure,/infrastructure,yes,WIRED_E2E_VERIFIED,
/data-centre-twin,/data-centre-twin,yes,WIRED_E2E_VERIFIED,
/omniverse-scene,/omniverse-scene,yes,WIRED_E2E_VERIFIED,
/twin-datacentre,/blueprint/default,redirect,WIRED_E2E_VERIFIED,
/twin-debug,/twin-debug,yes,WIRED_E2E_VERIFIED,
/digital-twins-demo/funding-intake,/digital-twins-demo/funding-intake,yes,WIRED_E2E_VERIFIED,
/pilot/overview,/pilot/overview,yes,WIRED_E2E_VERIFIED,
/command,/dashboard,redirect,WIRED_E2E_VERIFIED,
/facilities,/manage/facilities,redirect,WIRED_E2E_VERIFIED,
/agent-chat,/dashboard,redirect,WIRED_E2E_VERIFIED,
/studio/systems/does-not-exist/manage,/studio/systems/does-not-exist/manage,yes,PERMANENT_LOADING,Unknown id leaves a spinner; 400/406 from PostgREST retried 3x
/app/agents/does-not-exist/detail,/app/agents/does-not-exist/detail,yes,PERMANENT_LOADING,Unknown id leaves a spinner; 400/406 from PostgREST retried 3x
/blueprint/%%%bad-id,/blueprint/%%%bad-id,yes,BROKEN,"Malformed path returns edge 400 Bad Request page, SPA never mounts"
/data-centre-twin/00000000-0000-0000-0000-000000000000,/data-centre-twin/00000000-0000-0000-0000-000000000000,yes,MISLEADING_STATE,Unknown twin id renders default twin content instead of not-found
/this-route-does-not-exist,/this-route-does-not-exist,yes,WIRED_E2E_VERIFIED,
/login,/dashboard,redirect,WIRED_E2E_VERIFIED,
/onboarding,/dashboard,redirect,WIRED_E2E_VERIFIED,
/auth,/dashboard,redirect,WIRED_E2E_VERIFIED,
/sign-up,/dashboard,redirect,WIRED_E2E_VERIFIED,
/mfa,/dashboard,redirect,WIRED_E2E_VERIFIED,
