page_or_subpage,route,h1,tabs,classification
Subsystem Agents,/app/agents,Subsystem Agents,,see deep-link-refresh-matrix.csv
Subsystem Agents,/agents,Subsystem Agents,,see deep-link-refresh-matrix.csv
Subsystem Agents,/subsystem-agents,Subsystem Agents,,see deep-link-refresh-matrix.csv
Telemetry and analytics,/analytics,Telemetry and analytics,Overview|Thermal Analysis|Power & Energy|GPU & Workload|Sovereignty|Simulation Replay,see deep-link-refresh-matrix.csv
Telemetry and analytics,/intelligence,Telemetry and analytics,Overview|Thermal Analysis|Power & Energy|GPU & Workload|Sovereignty|Simulation Replay,see deep-link-refresh-matrix.csv
Telemetry and analytics,/operations,Telemetry and analytics,Overview|Thermal Analysis|Power & Energy|GPU & Workload|Sovereignty|Simulation Replay,see deep-link-refresh-matrix.csv
Deployments,/deployments,Deployments,,see deep-link-refresh-matrix.csv
(no h1),/deploy,,,see deep-link-refresh-matrix.csv
AI settings,/settings/ai,AI settings,,see deep-link-refresh-matrix.csv
Signups and approvals,/admin,Signups and approvals,All (324)|Pending (304)|Approved (20),see deep-link-refresh-matrix.csv
Signups and approvals,/admin/signups-dashboard,Signups and approvals,All (324)|Pending (304)|Approved (20),see deep-link-refresh-matrix.csv
User approvals,/admin/user-approvals,User approvals,,see deep-link-refresh-matrix.csv
Onboarding submissions,/admin/onboarding-submissions,Onboarding submissions,,see deep-link-refresh-matrix.csv
Asset pipeline,/admin/asset-pipeline,Asset pipeline,,see deep-link-refresh-matrix.csv
Admin asset preview,/admin/asset-preview,Admin asset preview,,see deep-link-refresh-matrix.csv
Hardware GPU acceptance - nvidia.rack.42u_a_01,/admin/asset-validation/nvidia.rack.42u_a_01,Hardware GPU acceptance - nvidia.rack.42u_a_01,,see deep-link-refresh-matrix.csv
NVIDIA Reference Facility - hardware visual acceptance,/admin/reference-facility-validation,NVIDIA Reference Facility - hardware visual acceptance,,see deep-link-refresh-matrix.csv
Teams and roles,/teams,Teams and roles,Team Members|User Approvals304,see deep-link-refresh-matrix.csv
Access control,/account/access-control,Access control,,see deep-link-refresh-matrix.csv
Profile,/account/profile,Profile,,see deep-link-refresh-matrix.csv
Workspace settings,/account/settings,Workspace settings,,see deep-link-refresh-matrix.csv
Search,/search,Search,,see deep-link-refresh-matrix.csv
Search,/universal-search,Search,,see deep-link-refresh-matrix.csv
Search,/search?q=montreal,Search,,see deep-link-refresh-matrix.csv
Learning Hub,/help,Learning Hub,,see deep-link-refresh-matrix.csv
AI Initiative,/playbook,AI Initiative,,see deep-link-refresh-matrix.csv
Sovereignty & Safety Audit,/compliance,Sovereignty & Safety Audit,,see deep-link-refresh-matrix.csv
Infrastructure,/infrastructure,Infrastructure,,see deep-link-refresh-matrix.csv
Data centre twin 1,/data-centre-twin,Data centre twin 1,Overview|Simulation|Thermal|Power|Cooling|Network|Facility|Workload|Sovereignty|Carbon|Financial,see deep-link-refresh-matrix.csv
AURA Twin Preview,/omniverse-scene,AURA Twin Preview,Metrics|Simulate|Racks,see deep-link-refresh-matrix.csv
Montreal Data centre,/twin-datacentre,Montreal Data centre,Model|Assets & Systems|Controls|Validation|Versions,see deep-link-refresh-matrix.csv
Twin Debug Console,/twin-debug,Twin Debug Console,Query Status|Telemetry|Errors|All Twins,see deep-link-refresh-matrix.csv
(no h1),/digital-twins-demo/funding-intake,,,see deep-link-refresh-matrix.csv
Data-centre twins,/pilot/overview,Data-centre twins,,see deep-link-refresh-matrix.csv
Montreal Data centre,/command,Montreal Data centre,,see deep-link-refresh-matrix.csv
Facilities,/facilities,Facilities,,see deep-link-refresh-matrix.csv
Montreal Data centre,/agent-chat,Montreal Data centre,,see deep-link-refresh-matrix.csv
(no h1),/studio/systems/does-not-exist/manage,,,see deep-link-refresh-matrix.csv
(no h1),/app/agents/does-not-exist/detail,,,see deep-link-refresh-matrix.csv
400 Bad Request,/blueprint/%%%bad-id,400 Bad Request,,see deep-link-refresh-matrix.csv
Data centre twin 1,/data-centre-twin/00000000-0000-0000-0000-000000000000,Data centre twin 1,Overview|Simulation|Thermal|Power|Cooling|Network|Facility|Workload|Sovereignty|Carbon|Financial,see deep-link-refresh-matrix.csv
404,/this-route-does-not-exist,404,,see deep-link-refresh-matrix.csv
Montreal Data centre,/login,Montreal Data centre,,see deep-link-refresh-matrix.csv
Montreal Data centre,/onboarding,Montreal Data centre,,see deep-link-refresh-matrix.csv
Montreal Data centre,/auth,Montreal Data centre,,see deep-link-refresh-matrix.csv
Montreal Data centre,/sign-up,Montreal Data centre,,see deep-link-refresh-matrix.csv
Montreal Data centre,/mfa,Montreal Data centre,,see deep-link-refresh-matrix.csv
