route,final_url,title,h1,purpose,navigation,hierarchy,task_completion,consistency,data_honesty,accessibility,responsive,error_recovery,overall,axe_violations,tiny_text,hardcoded_bw,unnamed_controls,console_errors,spinners
/,http://localhost:8080/dashboard,Montreal Data centre | AURA command centre,Montreal Data centre,3,1,3,2,3,4,4,3,2,2.8,0,40,1,0,0,0
/agent-chat,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/analytics,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/account/profile,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/account/settings,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/account/access-control,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/admin/onboarding-submissions,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/admin/user-approvals,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/admin/asset-preview,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/admin/asset-pipeline,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/admin/asset-validation/nvidia.rack.42u_a_01.ops,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/admin/reference-facility-validation,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/admin/signups-dashboard,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/admin/dsx-capabilities,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/admin/dataset-registry,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/manage/integrations,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/manage/facilities,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/compliance,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/teams,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/marketplace,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/app/agents,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/app/agents/thermal-agent/detail,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/app/agents/demo-agent/manage,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/app/agents/demo-agent/operations,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/twins/default/manage,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/studio/systems/demo-system/manage,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/data-centre-twin/default/blueprint,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/blueprint/preview,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/blueprint/default,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/simulation,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/simulation/preview,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/help,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/connect/monitor,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/connect/health,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/search,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/settings/ai,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/playbook,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/data-centre-twin/default,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/twin-debug,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/digital-twins-demo/funding-intake,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/infrastructure,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/dsx/evidence-beta,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/overview,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/operations,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/operations/thermal,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/operations/power,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/operations/cooling,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/operations/compute,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/operations/workload,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/sustainability,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/sustainability/financial,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/sustainability/sovereignty,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/decisions,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/decisions/log,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/assets,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/thermal,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/power,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/cooling,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/network,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/facility,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/workload,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/simulations,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/sovereignty,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/carbon,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/financials,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/evidence,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
