function,wildcard_cors,service_role,jwt_verified_in_code,classification
digital-twin-runtime,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
digital-twin-update,False,False,False,scoped-cors
document-analysis-start,False,False,False,scoped-cors
document-analysis-status,False,False,False,scoped-cors
dsx-ingest,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
funding-query,True,False,False,"wildcard-cors, unauthenticated (public endpoint - confirm intent)"
funding-scraper,True,True,False,WILDCARD-CORS + service-role + NO in-code auth (must be reviewed)
generate-ai-recommendations,True,False,False,"wildcard-cors, unauthenticated (public endpoint - confirm intent)"
generate-ctas,True,False,False,"wildcard-cors, unauthenticated (public endpoint - confirm intent)"
green-dc-recommend,True,False,False,"wildcard-cors, unauthenticated (public endpoint - confirm intent)"
grounded-summary,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
health,False,False,False,scoped-cors
health-ai,True,False,False,"wildcard-cors, unauthenticated (public endpoint - confirm intent)"
health-check,False,False,False,scoped-cors
ingest-file,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
integrations-connect,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
integrations-disconnect,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
integrations-list,False,False,False,scoped-cors
integrations-test,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
integrations-zapier,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
knowledge-index,False,False,False,scoped-cors
knowledge-upload,False,False,False,scoped-cors
knowledge-url,False,False,False,scoped-cors
langgraph-log-run,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
langgraph-run,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
langgraph-search-docs,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
langgraph-upsert-doc,False,False,False,scoped-cors
langgraph-upsert-memory,False,False,False,scoped-cors
managed-connector-capabilities,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
managed-connector-invoke,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
managed-connector-verify,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
managed-user-disconnect,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
managed-user-oauth-complete,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
managed-user-oauth-start,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
manual-recommendations,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
mcp-allowlist,False,False,False,scoped-cors
mcp-connect,False,False,False,scoped-cors
mcp-delete,False,False,False,scoped-cors
mcp-register,False,False,False,scoped-cors
mcp-sync,False,False,True,scoped-cors
mcp-test-tool,False,False,True,scoped-cors
mcp-validate,False,False,True,scoped-cors
mcp-verify,False,False,True,scoped-cors
metrics-summary,True,True,False,WILDCARD-CORS + service-role + NO in-code auth (must be reviewed)
migrate-credentials-to-vault,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
models-test,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
ops-environments,True,True,False,WILDCARD-CORS + service-role + NO in-code auth (must be reviewed)
ops-events,True,True,False,WILDCARD-CORS + service-role + NO in-code auth (must be reviewed)
ops-heartbeat,False,False,False,scoped-cors
ops-ingest-health,True,True,False,WILDCARD-CORS + service-role + NO in-code auth (must be reviewed)
ops-overview,False,False,False,scoped-cors
ops-systems,False,False,False,scoped-cors
policy-evaluate,False,False,False,scoped-cors
policy-validate,False,False,False,scoped-cors
public-intake,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
query-answer,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
rag-db-connect,False,False,False,scoped-cors
rag-items,False,False,False,scoped-cors
rag-oauth-microsoft,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
rag-s3-connect,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
rag-test,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
rag-upload,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
rag-urls,False,False,False,scoped-cors
reco-selftest,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
recommendations-generate,False,False,True,scoped-cors
recommendations-generate-stream,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
record-decision,False,True,False,scoped-cors
run-lifecycle,False,True,False,scoped-cors
runs-recent,False,False,False,scoped-cors
search,False,False,False,scoped-cors
search-suggestions,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
systems-create,False,False,False,scoped-cors
systems-create-from-template,False,False,False,scoped-cors
systems-delete,False,False,False,scoped-cors
systems-update,False,False,False,scoped-cors
teams-accept-invite,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
teams-invite,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
template-preview-chat,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
template-test-run,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
template-validate,True,False,False,"wildcard-cors, unauthenticated (public endpoint - confirm intent)"
templates-list,False,False,False,scoped-cors
templates-seed,True,True,False,WILDCARD-CORS + service-role + NO in-code auth (must be reviewed)
url-capture,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
url-crawl,False,False,False,scoped-cors
url-recommendations,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
url-turbo-capture,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
website-cache-clear,True,True,False,WILDCARD-CORS + service-role + NO in-code auth (must be reviewed)
website-cache-status,False,False,False,scoped-cors
website-scan,False,False,False,scoped-cors
workflow-ai-suggestions,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
workflow-run,False,False,False,scoped-cors
workflow-save,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
workflow-simulate,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
zapier-action-execute,True,True,False,WILDCARD-CORS + service-role + NO in-code auth (must be reviewed)
zapier-app-connect,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
zapier-app-disconnect,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
zapier-apps-detail,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
zapier-apps-list,False,False,False,scoped-cors
zapier-apps-sync,True,True,False,WILDCARD-CORS + service-role + NO in-code auth (must be reviewed)
zapier-auto-refresh,True,True,False,WILDCARD-CORS + service-role + NO in-code auth (must be reviewed)
zapier-connect,False,False,False,scoped-cors
zapier-disconnect,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
zapier-integration-status,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
zapier-oauth-callback,True,True,False,WILDCARD-CORS + service-role + NO in-code auth (must be reviewed)
zapier-oauth-connect,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
zapier-oauth-start,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
zapier-refresh-token,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
zapier-status,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
zapier-test,False,False,False,scoped-cors
zapier-test-connection,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
zapier-webhook,False,True,False,scoped-cors
zapier-webhook-trigger,False,True,False,scoped-cors
